Project,Time,ID,ComS,OrgS,SupS,BCT,BFR,Pno,Tno,BCTM
aframe,201509,1,0.029,0.083,0.252,3933.333,0.6,1,1,65.55555
aframe,201510,2,0.04,0.068,0.446,38875.5,0.769,1,2,647.925
aframe,201511,3,0.04,0.047,0.582,41214.857,0.7,1,3,686.9142833
aframe,201512,4,0.05,0.033,0.58,29013.625,0.533,1,4,483.5604167
aframe,201601,5,0.119,0.015,0.82,17012.813,0.711,1,5,283.5468833
aframe,201602,6,0.074,0.032,0.822,31728.5,1.333,1,6,528.8083333
aframe,201603,7,0.059,0.029,0.797,36770.564,0.975,1,7,612.8427333
aframe,201604,8,0.095,0.02,0.809,39679.917,0.667,1,8,661.33195
aframe,201605,9,0.148,0.031,0.715,25700.5,1.231,1,9,428.3416667
aframe,201606,10,0.128,0.019,0.782,17191,0.5,1,10,286.5166667
aframe,201607,11,0.106,0.014,0.778,31567.167,1,1,11,526.11945
aframe,201608,12,0.08,0.007,0.816,26580.688,1.333,1,12,443.0114667
aframe,201609,13,0.088,0.027,0.709,14076.5,0.286,1,13,234.6083333
aframe,201610,14,0.089,0.03,0.743,3201.5,0.667,1,14,53.35833333
aframe,201611,15,0.065,0.031,0.802,30422.364,1.294,1,15,507.0394
aframe,201612,16,0.227,0.008,0.678,41134.857,0.778,1,16,685.58095
aframe,201701,17,0.148,0.009,0.663,8138.667,0.75,1,17,135.64445
aframe,201702,18,0.112,0.007,0.724,19684.467,0.882,1,18,328.07445
aframe,201703,19,0.111,0.002,0.662,34891.923,0.813,1,19,581.53205
aframe,201704,20,0.125,0.023,0.692,35335.333,1.364,1,20,588.9222167
aframe,201705,21,0.182,0.026,0.628,51919.091,1.833,1,21,865.3181833
aframe,201706,22,0.115,0.017,0.651,32102.077,0.765,1,22,535.0346167
aframe,201707,23,0.119,0.008,0.689,20299.3,1.429,1,23,338.3216667
aframe,201708,24,0.098,0.011,0.66,36535.273,0.733,1,24,608.9212167
aframe,201709,25,0.115,0.007,0.629,3678,0.333,1,25,61.3
aframe,201710,26,0.149,0.011,0.647,35056.75,2,1,26,584.2791667
aframe,201711,27,0.127,0,0.618,17019,0.167,1,27,283.65
aframe,201712,28,0.069,0.016,0.641,24357.714,1.167,1,28,405.9619
aframe,201801,29,0.148,0,0.777,1032,0.333,1,29,17.2
aframe,201802,30,0.145,0,0.588,34034.5,0.5,1,30,567.2416667
aframe,201803,31,0.065,0.014,0.637,38971.143,1.167,1,31,649.51905
aframe,201804,32,0.148,0.019,0.585,26542.167,1.2,1,32,442.36945
aframe,201805,33,0.158,0,0.629,1286,0.333,1,33,21.43333333
aframe,201806,34,0.08,0.013,0.634,45125.25,0.571,1,34,752.0875
aframe,201807,35,0.12,0,0.658,28824,1,1,35,480.4
aframe,201808,36,0.045,0.006,0.798,30716.333,1,1,36,511.9388833
Alamofire,201501,1,0.095,0,0.657,9253,1.25,2,1,154.2166667
Alamofire,201502,2,0.186,0.029,0.629,46847.667,0.6,2,2,780.79445
Alamofire,201503,3,0.207,0,0.674,37619.5,1,2,3,626.9916667
Alamofire,201504,4,0.143,0.007,0.686,19479.5,0.923,2,4,324.6583333
Alamofire,201505,5,0.097,0.027,0.717,24759.875,1.333,2,5,412.6645833
Alamofire,201506,6,0.137,0.043,0.646,28143.4,0.625,2,6,469.0566667
Alamofire,201507,7,0.072,0.095,0.645,34350.235,1.308,2,7,572.5039167
Alamofire,201508,8,0.087,0.158,0.619,22813.467,0.882,2,8,380.22445
Alamofire,201509,9,0.075,0.154,0.637,25985.938,1.143,2,9,433.0989667
Alamofire,201510,10,0.087,0.169,0.642,8918.75,1,2,10,148.6458333
Alamofire,201511,11,0.111,0.188,0.668,39458,0.8,2,11,657.6333333
Alamofire,201512,12,0.124,0.161,0.634,37677.333,1,2,12,627.95555
Alamofire,201601,13,0.096,0.156,0.695,36977.8,0.625,2,13,616.2966667
Alamofire,201602,14,0.075,0.188,0.628,28065.364,1.375,2,14,467.7560667
Alamofire,201603,15,0.121,0.176,0.647,28511.833,0.8,2,15,475.1972167
Alamofire,201604,16,0.105,0.163,0.652,30306.063,1.067,2,16,505.10105
Alamofire,201605,17,0.092,0.204,0.662,30615.545,0.846,2,17,510.2590833
Alamofire,201606,18,0.102,0.135,0.686,51234.143,1.75,2,18,853.9023833
Alamofire,201607,19,0.078,0.206,0.628,36567.857,0.875,2,19,609.4642833
Alamofire,201608,20,0.115,0.146,0.62,27069,0.636,2,20,451.15
Alamofire,201609,21,0.09,0.14,0.667,30687.08,1.064,2,21,511.4513333
Alamofire,201610,22,0.118,0.218,0.64,43561.286,0.778,2,22,726.0214333
Alamofire,201611,23,0.091,0.163,0.669,35645.5,1.429,2,23,594.0916667
Alamofire,201612,24,0.088,0.263,0.63,41085.071,0.778,2,24,684.7511833
Alamofire,201701,25,0.133,0.187,0.646,28888.667,1.2,2,25,481.4777833
Alamofire,201702,26,0.129,0.169,0.678,49716.727,1.222,2,26,828.6121167
Alamofire,201703,27,0.067,0.289,0.644,56845.5,0.667,2,27,947.425
Alamofire,201704,28,0.079,0.192,0.702,19570.556,1.125,2,28,326.1759333
Alamofire,201705,29,0.069,0.224,0.681,38685.25,1,2,29,644.7541667
Alamofire,201706,30,0.087,0.194,0.669,35542.636,1,2,30,592.3772667
Alamofire,201707,31,0.11,0.26,0.6,27421.857,0.875,2,31,457.03095
Alamofire,201708,32,0.093,0.15,0.727,32383.8,2.5,2,32,539.73
Alamofire,201709,33,0.128,0.226,0.561,56189,0.75,2,33,936.4833333
Alamofire,201710,34,0.113,0.211,0.662,22418,0.5,2,34,373.6333333
Alamofire,201711,35,0.136,0.155,0.67,48212.5,1,2,35,803.5416667
Alamofire,201712,36,0.098,0.172,0.697,47344.5,0.5,2,36,789.075
ExoPlayer,201501,1,0.102,0.02,0.619,31897.5,0.889,3,1,531.625
ExoPlayer,201502,2,0.076,0.018,0.649,26902.875,0.615,3,2,448.38125
ExoPlayer,201503,3,0.087,0.02,0.613,40327.4,0.556,3,3,672.1233333
ExoPlayer,201504,4,0.05,0.013,0.528,46193.444,0.643,3,4,769.8907333
ExoPlayer,201505,5,0.055,0.011,0.577,40286.438,2,3,5,671.4406333
ExoPlayer,201506,6,0.061,0.017,0.636,48669,0.875,3,6,811.15
ExoPlayer,201507,7,0.078,0.029,0.697,27936.455,0.786,3,7,465.6075833
ExoPlayer,201508,8,0.146,0.03,0.659,22142.667,0.474,3,8,369.04445
ExoPlayer,201509,9,0.09,0.017,0.566,44265.8,1.25,3,9,737.7633333
ExoPlayer,201510,10,0.086,0.013,0.685,46966.765,1.063,3,10,782.7794167
ExoPlayer,201511,11,0.144,0.02,0.676,27806.167,0.632,3,11,463.4361167
ExoPlayer,201512,12,0.104,0.026,0.726,24796.231,0.765,3,12,413.2705167
ExoPlayer,201601,13,0.123,0.05,0.679,35752,0.88,3,13,595.8666667
ExoPlayer,201602,14,0.153,0.039,0.806,38723.583,0.667,3,14,645.39305
ExoPlayer,201603,15,0.151,0.066,0.779,35929.208,0.96,3,15,598.8201333
ExoPlayer,201604,16,0.133,0.069,0.794,35301.8,0.938,3,16,588.3633333
ExoPlayer,201605,17,0.125,0.04,0.832,35580.526,0.95,3,17,593.0087667
ExoPlayer,201606,18,0.042,0.022,0.414,26309,1.278,3,18,438.4833333
ExoPlayer,201607,19,0.115,0.046,0.495,39817.75,0.889,3,19,663.6291667
ExoPlayer,201608,20,0.094,0.042,0.606,35929.318,1.222,3,20,598.8219667
ExoPlayer,201609,21,0.1,0.049,0.646,30119.75,0.842,3,21,501.9958333
ExoPlayer,201610,22,0.102,0.054,0.682,33538.167,0.706,3,22,558.96945
